reviewer_name,rating,review_text,review_url,review_date,event_type
Alice M,5,Joel was just THE BEST addition to our wedding! He perfectly balanced being amazing entertainment with blending into our crowd of guests and just vibing! Just perfect! And such a lovely guy. Thanks Joel,https://maps.app.goo.gl/UqHtmNmXrHjyC4Rp9,2026-05-13,Wedding
Adam G,5,"We went with the ""All Night Party"" package from Solo Studios and they were brilliant! The DJ and the sax player set up very quickly and got some music playing straight away while they set up lights and speakers all around the venue. The DJ took requests from all the guests through the night and let me use their speakers to announce food and drink service.
The sax player danced with the guests for most of the night and went out of his way to learn requested songs. I would definitely recommend solo studios to anyone who wants music at their event!",https://maps.app.goo.gl/icdxUL74jCiEq9iY6,2026-06-13,Party
Emily M,5,"WOW!!! Joel was incredible and I cannot recommend booking him for your party. We booked Joel to be a surprise saxophonist at our wedding day, however it ended up being an arrangement where I also surprised my guests as the bride and played the saxophone with him! Joel was super helpful with this, sending over music for me to learn and finding a time to practice. As well as this he also played our first dance song live on the saxophone and again sent across a recording so we could practice to it. I can't recommend enough and promise you won't regret having him at your party, wedding etc",https://maps.app.goo.gl/jJMayGeMSVTer1bcA,2026-08-20,Wedding
Cherie T,5,Joel played the sax at our wedding earlier on in the week & he was fabulous! Really brought the vibe of our wedding up immediately after the ceremony & everyone said how much they enjoyed it including us. Communication was fab from the start & Joel played pretty much all of the songs we had requested! Definitely recommend Joel for your events! Thank you again ,https://maps.app.goo.gl/AX82Pivz4cZmrgQ6A,2026-05-27,Wedding
Ryan P,5,"Joel Solomons absolutely smashed it at our wedding. His performance took the vibe and atmosphere to another level. The Guests were loving every second and blown away by what could actually be played on a sax. Joel played exactly what we wanted him to play. Super friendly, super talented, and genuinely one of the highlights of the day. Anyone looking for a sax player for your special day, look no further, you won't regret it.",https://maps.app.goo.gl/rVmeoBrXyCmLjKkv7,2026-07-02,Wedding
Elizabeth G,5,"We booked Solo Studios for my sisters wedding and he was amazing! Quick to respond and flexible on the day. Joel was amazing on the sax, such an integral part of the day and definitely bought the vibe! The whole set up was super professional, even bought portable speakers and microphones for the speech's and lighting according to the wedding colours. Everything was thought of! 10/10 would recommend, thank you Joel and Solo Studios! :)",https://maps.app.goo.gl/TXMj1rDci3zsNRG26,2026-04-15,Wedding
Sophie P,5,"Joel was utterly fantastic! Created the exact vibe we were after for our drinks reception at our wedding (ibiza vibes!) and performed in the midst of a heatwave! He's great, would book again ! xx",https://maps.app.goo.gl/5kvdvaQNiHRNihEQ9,2026-08-19,
Rebecca B,5,"Went with the power hour package just before the band arrived and i can honestly say it started the party perfectly! It was a perfect mix of songs and catered to all the ages of the party. I would highly recommend this to anybody wanting something unique and a conversation starter
Thank you Solo Studios!",https://maps.app.goo.gl/tRKJwuSsmPmjmo3a8,2026-04-29,Party
Emma M,5,"I had the pleasure of photographing a wedding where this saxophonist was performing, and he was absolutely fantastic. From the moment he started playing, he created an incredible atmosphere and had everyone smiling, dancing, and enjoying themselves.

He was really friendly and professional throughout the day, and his energy was infectious. Seeing guests of all ages up on their feet, dancing in the sunshine with the sea as the backdrop, made for such a memorable celebration.

If you're looking for someone who can bring amazing vibes, get the crowd involved, and make your event unforgettable, I wouldn't hesitate to recommend him. A brilliant musician and a genuinely lovely person!",https://maps.app.goo.gl/tNBA8mVjUX2nx49f7,2026-07-23,Wedding
Adam D,5,It was fantastic having Joel play for our wedding - he really created a fab party environment and was very good at de-stressing me by focussing on what was important: ensuring everyone had a good time!,,2026-06-10,Wedding
Carlo W,5,"I was involved in organising a wedding this August, and we hired Solo Studios for music for the whole day, and they were incredible!

Having the sax welcome guests in for the drinks reception set the tone for the rest of the day, and we used their equipment to do speeches.

The DJ kept everyone on the dancefloor for the whole night and Joel danced with guests all night while playing the sax!

They brought some string lights to set the atmosphere for the day and matched them to the wedding colours, and they programmed the stage lighting for the evening performance to match the room and bride's outfit perfectly.

I would highly recommend Solo Studios for any wedding (or party) and I will definitely be using them again in the future.",https://maps.app.goo.gl/FRGHxXSeBYaEej8Q9,2025-08-20,Wedding
Ricky C,5,Joel was amazing at our Staff Xmas party from start to finish he entertained us and created a great atmosphere- thanks Joel,,2025-12-08,Corporate Event
