"Song","Artist"
"9 to 5","Dolly Parton"
"Africa","Toto"
"Ain't No Mountain High Enough","Marvin Gaye & Tammi Terrell"
"Ain't No Stoppin' Us Now","McFadden & Whitehead"
"Ain't Nobody","Chaka Khan"
"A Little Respect","Erasure"
"All Night Long","Lionel Richie"
"At Last","Etta James"
"Baker Street","Gerry Rafferty"
"Best Of My Love","The Emotions"
"Billie Jean","Michael Jackson"
"Blame It on the Boogie","The Jacksons"
"Boogie Wonderland","Earth, Wind & Fire"
"Brown Eyed Girl","Van Morrison"
"Build Me Up Buttercup","The Foundations"
"Can't Help Falling in Love","Elvis Presley"
"Can You Feel It","The Jacksons"
"Car Wash","Rose Royce"
"Careless Whisper","George Michael"
"Celebration","Kool & The Gang"
"Come and Get Your Love","Redbone"
"Come On Eileen","Dexys Midnight Runners"
"Dancing In The Moonlight","Toploader"
"Dancing Queen","ABBA"
"December, 1963 (Oh, What a Night)","Frankie Valli & The Four Seasons"
"Disco Inferno","The Trammps"
"Do You Love Me","The Contours"
"Don't Leave Me This Way","Thelma Houston"
"Don't Look Back in Anger","Oasis"
"Don't Stop 'Til You Get Enough","Michael Jackson"
"Don't Stop Me Now","Queen"
"Easy","Commodores"
"Everybody Needs Somebody To Love","The Blues Brothers"
"Everybody Wants To Rule The World","Tears for Fears"
"Faith","George Michael"
"Finally","CeCe Peniston"
"Footloose","Kenny Loggins"
"Freeway of Love","Aretha Franklin"
"Get Down On It","Kool & The Gang"
"Gimme! Gimme! Gimme! (A Man After Midnight)","ABBA"
"Girls Just Want to Have Fun","Cyndi Lauper"
"Good Times","Chic"
"Grease Megamix","John Travolta and Olivia Newton-John"
"Groove Is In The Heart","Deee-Lite"
"Heaven Must Be Missing an Angel","Tavares"
"Higher Love","Steve Winwood"
"Hot Stuff","Donna Summer"
"How Sweet It Is (To Be Loved by You)","Marvin Gaye"
"I Feel Good","James Brown"
"I Found Lovin'","The Fatback Band"
"I Heard It Through the Grapevine","Marvin Gaye"
"I Say a Little Prayer","Aretha Franklin"
"I Wanna Dance with Somebody","Whitney Houston"
"I Want You Back","The Jackson 5"
"If I Can't Have You","Yvonne Elliman"
"I'm Coming Out","Diana Ross"
"I'm Every Woman","Chaka Khan"
"I'm Still Standing","Elton John"
"Is This Love","Bob Marley & The Wailers"
"Isn't She Lovely","Stevie Wonder"
"Jailhouse Rock","Elvis Presley"
"Jump (For My Love)","The Pointer Sisters"
"Kiss","Prince"
"L.O.V.E.","Nat King Cole"
"Lady Marmalade","Labelle"
"Le Freak","Chic"
"Let's Dance","David Bowie"
"Let's Groove","Earth, Wind & Fire"
"Let's Hear It for the Boy","Deniece Williams"
"Long Train Runnin'","The Doobie Brothers"
"Lovely Day","Bill Withers"
"Love Really Hurts Without You","Billy Ocean"
"Love Shack","The B-52's"
"Mamma Mia","ABBA"
"Moondance","Van Morrison"
"Move On Up","Curtis Mayfield"
"Mr Blue Sky","Electric Light Orchestra"
"My Girl","The Temptations"
"Never Gonna Give You Up","Rick Astley"
"Never Too Much","Luther Vandross"
"Pick Up the Pieces","Average White Band"
"Play That Funky Music","Wild Cherry"
"Proud Mary","Tina Turner"
"Red Red Wine","UB40"
"Relight My Fire","Dan Hartman"
"Respect","Aretha Franklin"
"Rock with You","Michael Jackson"
"Rockin' Robin","The Jackson 5"
"September","Earth, Wind & Fire"
"Shake a Tail Feather","Ray Charles"
"Shout","The Isley Brothers"
"Signed, Sealed, Delivered I'm Yours","Stevie Wonder"
"Sir Duke","Stevie Wonder"
"Sittin' On The Dock of the Bay","Otis Redding"
"Soul Man","The Blues Brothers"
"Stand by Me","Ben E. King"
"Stuck in the Middle with You","Stealers Wheel"
"Summer of '69","Bryan Adams"
"Superstition","Stevie Wonder"
"Sweet Caroline","Neil Diamond"
"Sweet Home Alabama","Lynyrd Skynyrd"
"Take On Me","a-ha"
"Tequila","The Champs"
"The Best","Tina Turner"
"The Shoop Shoop Song (It's in His Kiss)","Cher"
"This Will Be (An Everlasting Love)","Natalie Cole"
"Three Little Birds","Bob Marley & The Wailers"
"Town Called Malice","The Jam"
"Twist and Shout","The Beatles"
"Upside Down","Diana Ross"
"Wake Me Up Before You Go-Go","Wham!"
"Walking On Sunshine","Katrina and The Waves"
"Waterloo","ABBA"
"We Are Family","Sister Sledge"
"Wonderful Tonight","Eric Clapton"
"You Are the Sunshine of My Life","Stevie Wonder"
"You Can Call Me Al","Paul Simon"
"You Can't Hurry Love","The Supremes"
"You Make My Dreams","Hall & Oates"
"You Sexy Thing","Hot Chocolate"
"You To Me Are Everything","The Real Thing"
"Young Hearts Run Free","Candi Staton"
