Lipps Inc.,Funkytown
Cyndi Lauper,Girls Just Want to Have Fun
Smash Mouth,All Star
Billy Idol,White Wedding (Pt. 1 - Remastered 2002)
Kings of Leon,Sex on Fire
Kool & The Gang,Celebration
Bryan Adams,Summer Of '69
The Beatles,Twist And Shout (Remastered 2009)
Candi Staton,Young Hearts Run Free
Kenny Loggins,Footloose (From "Footloose" Soundtrack)
Marvin Gaye,Sexual Healing
Aretha Franklin,Respect
Shania Twain,Man! I Feel Like A Woman!
The B-52's,Love Shack
Elton John,Crocodile Rock
Lou Bega,Mambo No. 5 (A Little Bit Of...)
Dua Lipa Feat. DaBaby,Levitating
The Supremes,You Can't Hurry Love
Shakira,Hips Don't Lie
Dexys Midnight Runners,Come On Eileen (Single Edit)
Neil Diamond,Sweet Caroline
Jackson 5,I Want You Back
Bon Jovi,Livin' On A Prayer
Usher,Yeah!
Clean Bandit Feat. Zara Larsson,Symphony
Def Leppard,Pour Some Sugar On Me
The Buggles,Video Killed The Radio Star
Chuck Berry,Johnny B. Goode
Montell Jordan,This Is How We Do It
Wild Cherry,Play That Funky Music
Michael Jackson,Rockin' Robin
Lady Gaga,Poker Face
Culture Club,Karma Chameleon
Rose Royce,Car Wash (Long Version)
The Police,Roxanne (Remastered 2003)
Felix Jaehn,Ain't Nobody (Loves Me Better)
DNCE,Cake By The Ocean
Guns N' Roses,Sweet Child O' Mine
The Darkness,I Believe in a Thing Called Love
Adventures Of Stevie V.,Dirty Cash (Money Talks)
The Kinks,You Really Got Me
Paolo Nutini,Pencil Full Of Lead
Rick James,Super Freak
Counting Crows,Accidentally In Love (From "Shrek")
Salt-N-Pepa,Push It
Florence + The Machine,You've Got The Love
Diana Ross & Lionel Richie,Endless Love (From "The Endless Love" Soundtrack)
Sophie Ellis-Bextor,Murder On The Dancefloor
Shaggy,It Wasn't Me
James Brown,Get Up Offa That Thing
Frank Sinatra,The Way You Look Tonight (2008 Remastered)
Randy Newman,Monsters, Inc. Theme Song
Toploader,Dancing In The Moonlight
