"Artist","Song"
"Klingande","Jubel"
"Robin S","Show Me Love"
"Snap!","Rhythm Is a Dancer"
"Gala","Freed from Desire"
"Stardust","Music Sounds Better with You"
"Avicii","Wake Me Up"
"Avicii","Levels"
"David Guetta feat. Sia","Titanium"
"Calvin Harris","Summer"
"Calvin Harris","Feel So Close"
"Swedish House Mafia feat. John Martin","Don't You Worry Child"
"Modjo","Lady (Hear Me Tonight)"
"Black Box","Ride on Time"
"Alice Deejay","Better Off Alone"
"Darude","Sandstorm"
"Ultra Naté","Free"
"Crystal Waters","Gypsy Woman (She's Homeless)"
"Nightcrawlers","Push The Feeling On"
"Corona","The Rhythm of the Night"
"Whigfield","Saturday Night"
"Faithless","Insomnia"
"Robert Miles","Children"
"Spiller","Groovejet (If This Ain't Love)"
"Fragma","Toca's Miracle"
"Fatboy Slim","Praise You"
"Basement Jaxx","Where's Your Head At"
"Bob Sinclar presents Goleo VI feat. Gary Pine","Love Generation"
"Bob Sinclar","World, Hold On"
"Kungs vs Cookin' on 3 Burners","This Girl"
"Faul & Wad Ad vs. PNAU","Changes"
"Otto Knows","Million Voices"
"Duke Dumont feat. Jax Jones","I Got U"
"Duke Dumont","Ocean Drive"
"Route 94 feat. Jess Glynne","My Love"
"Disclosure feat. Sam Smith","Latch"
"Disclosure feat. Eliza Doolittle","You & Me"
"Clean Bandit feat. Jess Glynne","Rather Be"
"Calvin Harris feat. Florence Welch","Sweet Nothing"
"Calvin Harris feat. Ellie Goulding","I Need Your Love"
"Calvin Harris & Disciples","How Deep Is Your Love"
"David Guetta feat. Kelly Rowland","When Love Takes Over"
"David Guetta feat. Akon","Sexy Bitch"
"David Guetta feat. Ne-Yo & Akon","Play Hard"
"Swedish House Mafia","One"
"Swedish House Mafia","Save the World"
"Avicii","Seek Bromance"
"Avicii","Fade Into Darkness"
"Axwell / Ingrosso","More Than You Know"
"Axwell Λ Ingrosso","Sun Is Shining"
"Galantis","Runaway (U & I)"
"Galantis","No Money"
"Joel Corry feat. MNEK","Head & Heart"
"Topic & A7S","Breaking Me"
"Meduza feat. Goodboys","Piece of Your Heart"
"Meduza feat. Dermot Kennedy","Paradise"
"Gorgon City feat. MNEK","Ready for Your Love"
"Gorgon City","Imagination"
"Jax Jones feat. RAYE","You Don't Know Me"
"James Hype & Miggy Dela Rosa","Ferrari"
"Calvin Harris & Sam Smith","Desire"
"Becky Hill & Chase & Status","Disconnect"
"Purple Disco Machine & Sophie and the Giants","Hypnotized"
