"Song","Artist"
"24K Magic","Bruno Mars"
"360","Charli xcx"
"APT.","ROSÉ and Bruno Mars"
"A Bar Song (Tipsy)","Shaboozey"
"About Damn Time","Lizzo"
"All About You","McFly"
"As It Was","Harry Styles"
"Bad Dreams","Teddy Swims"
"Belong Together","Mark Ambor"
"Birds Of A Feather","Billie Eilish"
"Blinding Lights","The Weeknd"
"Cake By The Ocean","DNCE"
"Can't Stop The Feeling!","Justin Timberlake"
"Close To You","Gracie Abrams"
"Cruel Summer","Taylor Swift"
"Dance The Night","Dua Lipa"
"Dance With Me Tonight","Olly Murs"
"Dancing In The Moonlight","Toploader"
"Die With A Smile","Lady Gaga and Bruno Mars"
"Don't Start Now","Dua Lipa"
"Don't Stop The Music","Rihanna"
"Espresso","Sabrina Carpenter"
"Exes","Tate McRae"
"Feather","Sabrina Carpenter"
"Flowers","Miley Cyrus"
"Forget You","CeeLo Green"
"Good Luck, Babe!","Chappell Roan"
"Greedy","Tate McRae"
"Happy","Pharrell Williams"
"Havana","Camila Cabello"
"Higher Love","Kygo and Whitney Houston"
"Hold Back The River","James Bay"
"Houdini","Dua Lipa"
"How Will I Know","Whitney Houston and Clean Bandit"
"I Ain't Worried","OneRepublic"
"I Can Do It With A Broken Heart","Taylor Swift"
"I Had Some Help","Post Malone feat. Morgan Wallen"
"I Knew You Were Trouble","Taylor Swift"
"I Like The Way You Kiss Me","Artemas"
"I Wanna Dance With Somebody","Whitney Houston"
"I'm Good (Blue)","David Guetta and Bebe Rexha"
"Juice","Lizzo"
"Just The Way You Are","Bruno Mars"
"Just The Way You Are","Milky"
"Kiss Me More","Doja Cat feat. SZA"
"Levitating","Dua Lipa"
"Locked Out Of Heaven","Bruno Mars"
"Lose Control","Teddy Swims"
"Love Me Like You Do","Ellie Goulding"
"Love Me Not","Ravyn Lenae"
"Love On Top","Beyoncé"
"Love Story","Taylor Swift"
"Lover","Taylor Swift"
"Lush Life","Zara Larsson"
"Magic","Coldplay"
"Man! I Feel Like A Woman!","Shania Twain"
"Manchild","Sabrina Carpenter"
"Marry You","Bruno Mars"
"Messy","Lola Young"
"Million Dollar Baby","Tommy Richman"
"Mr Brightside","The Killers"
"Murder On The Dancefloor","Sophie Ellis-Bextor"
"Never Be The Same","Camila Cabello"
"New Rules","Dua Lipa"
"Nice To Meet You","Myles Smith"
"Nonsense","Sabrina Carpenter"
"No One","David Guetta and Delilah Montagu"
"Ordinary","Alex Warren"
"Party In The U.S.A.","Miley Cyrus"
"Perfect","Ed Sheeran"
"Pink Pony Club","Chappell Roan"
"Please Please Please","Sabrina Carpenter"
"Put Your Records On","Corinne Bailey Rae"
"Rather Be","Clean Bandit feat. Jess Glynne"
"Shallow","Lady Gaga and Bradley Cooper"
"Shape Of You","Ed Sheeran"
"Shivers","Ed Sheeran"
"Shut Up and Dance","WALK THE MOON"
"Slow It Down","Benson Boone"
"Sports Car","Tate McRae"
"Stargazing","Myles Smith"
"Style","Taylor Swift"
"Sugar","Maroon 5"
"Taste","Sabrina Carpenter"
"That's So True","Gracie Abrams"
"The Door","Teddy Swims"
"Thinking Out Loud","Ed Sheeran"
"This Will Be (An Everlasting Love)","Natalie Cole"
"Titanium","David Guetta feat. Sia"
"Too Sweet","Hozier"
"Training Season","Dua Lipa"
"Unwritten","Natasha Bedingfield"
"Uptown Funk","Mark Ronson feat. Bruno Mars"
"Valerie","Mark Ronson feat. Amy Winehouse"
"Wake Me Up","Avicii"
"Watermelon Sugar","Harry Styles"
"We Can't Be Friends (Wait For Your Love)","Ariana Grande"
"Yeah!","Usher"
"yes, and?","Ariana Grande"
"You Belong With Me","Taylor Swift"
